Assemblage,Gulf,Habitat,Individuals,Order.q,qD,qD.LCL,qD.UCL
GB_Seagrass,GB,Seagrass,549,0,80.72124456,75.95951803,85.48297108
GB_Seagrass,GB,Seagrass,610,0,83.47747338,78.42416618,88.53078058
GB_Seagrass,GB,Seagrass,671,0,85.98558655,80.65799821,91.31317489
GB_Seagrass,GB,Seagrass,732,0,88.28415408,82.6961973,93.87211086
GB_Seagrass,GB,Seagrass,793,0,90.40298268,84.56549433,96.24047102
GB_Seagrass,GB,Seagrass,854,0,92.36553106,86.28651408,98.44454805
GB_Seagrass,GB,Seagrass,915,0,94.19050347,87.87530432,100.5057026
GB_Seagrass,GB,Seagrass,976,0,95.89293114,89.3443629,102.4414994
GB_Seagrass,GB,Seagrass,1037,0,97.48494083,90.70336156,104.2665201
GB_Seagrass,GB,Seagrass,1098,0,98.97634213,91.95969522,105.992989
GB_Seagrass,GB,Seagrass,1099,0,99,91.97946892,106.0205311
GG_Coral_reef,GG,Coral Reef,1,0,1,1,1
GG_Coral_reef,GG,Coral Reef,65,0,37.22699565,35.91797391,38.53601739
GG_Coral_reef,GG,Coral Reef,130,0,59.87169897,57.46988908,62.27350885
GG_Coral_reef,GG,Coral Reef,194,0,77.07449972,73.80761851,80.34138094
GG_Coral_reef,GG,Coral Reef,259,0,91.42017178,87.41373664,95.42660692
GG_Coral_reef,GG,Coral Reef,323,0,103.375761,98.73439568,108.0171264
GG_Coral_reef,GG,Coral Reef,388,0,113.8545939,108.6387464,119.0704415
GG_Coral_reef,GG,Coral Reef,452,0,122.8848139,117.157743,128.6118847
GG_Coral_reef,GG,Coral Reef,517,0,131.0030608,124.8012722,137.2048493
GG_Coral_reef,GG,Coral Reef,581,0,138.143959,131.5103992,144.7775187
GG_Coral_reef,GG,Coral Reef,646,0,144.6735758,137.6309154,151.7162362
GG_Coral_reef,GG,Coral Reef,710,0,150.4990896,143.077015,157.9211641
GG_Coral_reef,GG,Coral Reef,775,0,155.8888011,148.1002684,163.6773337
GG_Coral_reef,GG,Coral Reef,839,0,160.7435134,152.6085799,168.8784469
GG_Coral_reef,GG,Coral Reef,904,0,165.2690143,156.7930947,173.744934
GG_Coral_reef,GG,Coral Reef,968,0,169.3684799,160.5640305,178.1729293
GG_Coral_reef,GG,Coral Reef,1033,0,173.2050152,164.0708625,182.3391678
GG_Coral_reef,GG,Coral Reef,1097,0,176.6885965,167.2304514,186.1467415
GG_Coral_reef,GG,Coral Reef,1162,0,179.9518487,170.1618884,189.7418089
GG_Coral_reef,GG,Coral Reef,1163,0,180,170.2048946,189.7951054
GG_Seagrass,GG,Seagrass,1,0,1,1,1
GG_Seagrass,GG,Seagrass,122,0,44.47297705,42.95200702,45.99394708
GG_Seagrass,GG,Seagrass,243,0,63.6512245,61.06611235,66.23633664
GG_Seagrass,GG,Seagrass,364,0,77.18285498,73.7167214,80.64898856
GG_Seagrass,GG,Seagrass,485,0,87.98985669,83.75081684,92.22889653
GG_Seagrass,GG,Seagrass,606,0,97.15379834,92.22199142,102.0856053
GG_Seagrass,GG,Seagrass,727,0,105.1928507,99.63110679,110.7545946
GG_Seagrass,GG,Seagrass,848,0,112.3916052,106.2492171,118.5339933
GG_Seagrass,GG,Seagrass,969,0,118.9227226,112.2379994,125.6074457
GG_Seagrass,GG,Seagrass,1090,0,124.9003492,117.7027869,132.0979115
GG_Seagrass,GG,Seagrass,1211,0,130.4058056,122.7179569,138.0936542
GG_Seagrass,GG,Seagrass,1332,0,135.500761,127.3397896,143.6617324
GG_Seagrass,GG,Seagrass,1453,0,140.2343768,131.6132877,148.8554659
GG_Seagrass,GG,Seagrass,1574,0,144.6473688,135.5759318,153.7188059
GG_Seagrass,GG,Seagrass,1695,0,148.7744089,139.2598083,158.2890095
GG_Seagrass,GG,Seagrass,1816,0,152.6455941,142.692848,162.5983402
GG_Seagrass,GG,Seagrass,1937,0,156.2873783,145.8995685,166.6751882
GG_Seagrass,GG,Seagrass,2058,0,159.7231887,148.9015395,170.5448379
GG_Seagrass,GG,Seagrass,2179,0,162.9738532,151.7176884,174.230018
GG_Seagrass,GG,Seagrass,2180,0,163,151.7402358,174.2597642
