collection_code,event_id,catalog_number,occurrence_id,scientific_name,identification_qualifier,individual_count,class,feeding_type,life_mode,habitat
GG,GG_GG01R1,34,CIM-UH_GG_34,Tegula gruneri,,5,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,35,CIM-UH_GG_35,Teinostoma parvicallum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,36,CIM-UH_GG_36,Turbo cailletii,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R1,37,CIM-UH_GG_37,Turbonilla pupoides,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,38,CIM-UH_GG_38,Vermicularia, sp.,1,Gastropoda,Suspension feeder,Benthic,coral reef
GG,GG_GG01R1,39,CIM-UH_GG_39,Vermicularia spirata,,1,Gastropoda,Suspension feeder,Benthic,coral reef
GG,GG_GG01R1,40,CIM-UH_GG_40,Volvarina ,spp.,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R1,41,CIM-UH_GG_41,Zebinella decussata,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,42,CIM-UH_GG_42,Acteocina ,spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,43,CIM-UH_GG_43,Agathistoma fasciatum,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,44,CIM-UH_GG_44,Agathotoma castellata,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,45,CIM-UH_GG_45,Ailinzebina elegantissima,,13,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,46,CIM-UH_GG_46,Alaba incerta,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,47,CIM-UH_GG_47,Alvania ,spp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,48,CIM-UH_GG_48,Anatoma rolani,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,49,CIM-UH_GG_49,Atlantilux exigua,,4,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,50,CIM-UH_GG_50,Caecum circumvolutum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,51,CIM-UH_GG_51,Caecum floridanum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,52,CIM-UH_GG_52,Caecum imbricatum,,8,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,53,CIM-UH_GG_53,Caecum laeve,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,54,CIM-UH_GG_54,Cerithiopsis lata,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,55,CIM-UH_GG_55,Cerithium eburneum,,4,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG01R2,56,CIM-UH_GG_56,Cerithium litteratum,,33,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG01R2,57,CIM-UH_GG_57,Conus daucus,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,58,CIM-UH_GG_58,Crassispira ,spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,59,CIM-UH_GG_59,Diodora minuta,,1,Gastropoda,Herbivores/Carnivores,Benthic,coral reef
GG,GG_GG01R2,60,CIM-UH_GG_60,Dolichupis leucosphaera,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,61,CIM-UH_GG_61,Emarginula phrixodes,,1,Gastropoda,Herbivores/Carnivores,Benthic,coral reef
GG,GG_GG01R2,62,CIM-UH_GG_62,Eoacmaea pustulata,,15,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,63,CIM-UH_GG_63,Eulithidium bellum,,3,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,64,CIM-UH_GG_64,Eulithidium, sp.,38,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,65,CIM-UH_GG_65,Falsuszafrona belkisae,,3,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,66,CIM-UH_GG_66,Falsuszafrona pulchella,,4,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,67,CIM-UH_GG_67,Gibberula ,spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,68,CIM-UH_GG_68,Granulina antillensis,,3,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,69,CIM-UH_GG_69,Haminoea elegans,,3,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,70,CIM-UH_GG_70,Hemimarginula dentigera,,1,Gastropoda,Herbivores/Carnivores,Benthic,coral reef
GG,GG_GG01R2,71,CIM-UH_GG_71,Horologica pupa,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,72,CIM-UH_GG_72,Iniforis pseudothomae,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,73,CIM-UH_GG_73,Meioceras cornucopiae,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,74,CIM-UH_GG_74,Meioceras nitidum,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,75,CIM-UH_GG_75,Montfortia emarginata,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,76,CIM-UH_GG_76,Nassarius ,spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,77,CIM-UH_GG_77,Nototriphora decorata,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,78,CIM-UH_GG_78,Parviturbo weberi,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,79,CIM-UH_GG_79,Phosinella cancellina,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,80,CIM-UH_GG_80,Phosinella fenestrata,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,81,CIM-UH_GG_81,Pseudostomatella erythrocoma,,3,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,82,CIM-UH_GG_82,Rimula frenulata,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,83,CIM-UH_GG_83,Schwartziella fischeri,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,84,CIM-UH_GG_84,Simulamerelina ,spp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,85,CIM-UH_GG_85,Trochomodulus carchedonius,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,86,CIM-UH_GG_86,Turbo cailletii,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,87,CIM-UH_GG_87,Turbonilla pupoides,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,88,CIM-UH_GG_88,Vermicularia spirata,,2,Gastropoda,Suspension feeder,Benthic,coral reef
GG,GG_GG01R2,89,CIM-UH_GG_89,Vexillum sykesi,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,90,CIM-UH_GG_90,Vitrinella anneliesae,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,91,CIM-UH_GG_91,Volvarina ,spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R2,92,CIM-UH_GG_92,Zebina browniana,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R2,93,CIM-UH_GG_93,Zebina ,spp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,94,CIM-UH_GG_94,Agathistoma hotessierianum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,95,CIM-UH_GG_95,Ailinzebina elegantissima,,6,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,96,CIM-UH_GG_96,Atlantilux exigua,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R3,97,CIM-UH_GG_97,Caecum donmoorei,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,98,CIM-UH_GG_98,Caecum laeve,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,99,CIM-UH_GG_99,Caecum plicatum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,100,CIM-UH_GG_100,Caecum ,spp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,101,CIM-UH_GG_101,Cerithium eburneum,,4,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG01R3,102,CIM-UH_GG_102,Cerithium litteratum,,10,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG01R3,103,CIM-UH_GG_103,Coralliophila salebrosa,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R3,104,CIM-UH_GG_104,Cratis antillensis,,1,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG01R3,105,CIM-UH_GG_105,Eoacmaea pustulata,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,106,CIM-UH_GG_106,Eulithidium, sp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,107,CIM-UH_GG_107,Fissurella ,sp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,108,CIM-UH_GG_108,Gibberula fluctuata,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R3,109,CIM-UH_GG_109,Gibberula ,spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R3,110,CIM-UH_GG_110,Meioceras cornucopiae,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,111,CIM-UH_GG_111,Meioceras cubitatum,,3,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,112,CIM-UH_GG_112,Meioceras nitidum,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,113,CIM-UH_GG_113,Nucula ,sp.,1,Bivalvia,Deposit feeder,Benthic,coral reef
GG,GG_GG01R3,114,CIM-UH_GG_114,Pseudopusula antillarum,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R3,115,CIM-UH_GG_115,Rissoina vanderspoeli,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,116,CIM-UH_GG_116,Simulamerelina ,spp.,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,117,CIM-UH_GG_117,Turbo cailletii,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG01R3,118,CIM-UH_GG_118,Vexillum sykesi,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R3,119,CIM-UH_GG_119,Volvarina ,spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG01R3,120,CIM-UH_GG_120,Zafrona ,sp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,121,CIM-UH_GG_121,Agathistoma lividomaculatum,,5,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,122,CIM-UH_GG_122,Alvania auberiana,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,123,CIM-UH_GG_123,Amphithalamus vallei,,34,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,124,CIM-UH_GG_124,Antalis antillarum,,3,Scaphopoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,125,CIM-UH_GG_125,Barbatia domingensis,,4,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG02R1,126,CIM-UH_GG_126,Caecum circumvolutum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,127,CIM-UH_GG_127,Caecum plicatum,,9,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,128,CIM-UH_GG_128,Caecum regulare,,4,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,129,CIM-UH_GG_129,Caecum ,spp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,130,CIM-UH_GG_130,Carditopsis bernardi,,5,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG02R1,131,CIM-UH_GG_131,Carditopsis smithii,,5,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG02R1,132,CIM-UH_GG_132,Cerithiopsis, spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,133,CIM-UH_GG_133,Cerithium litteratum,,12,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG02R1,134,CIM-UH_GG_134,Cheilea americana,,1,Gastropoda,Herbivores/Suspension feeder,Benthic,coral reef
GG,GG_GG02R1,135,CIM-UH_GG_135,Chioneryx pygmaea,,2,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG02R1,136,CIM-UH_GG_136,Columbella mercatoria,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,137,CIM-UH_GG_137,Ctena, spp.,3,Bivalvia,Chemosymbiont,Benthic,coral reef
GG,GG_GG02R1,138,CIM-UH_GG_138,Diodora cayenensis,,1,Gastropoda,Herbivores/Carnivores,Benthic,coral reef
GG,GG_GG02R1,139,CIM-UH_GG_139,Diodora minuta,,1,Gastropoda,Herbivores/Carnivores,Benthic,coral reef
GG,GG_GG02R1,140,CIM-UH_GG_140,Eulithidium bellum,,14,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,141,CIM-UH_GG_141,Glycymeris decussata,,2,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG02R1,142,CIM-UH_GG_142,Hipponix antiquatus,,1,Gastropoda,Herbivores/Suspension feeder,Benthic,coral reef
GG,GG_GG02R1,143,CIM-UH_GG_143,Isotriphora taenialba,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,144,CIM-UH_GG_144,Ividia havanensis,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,145,CIM-UH_GG_145,Meioceras cornucopiae,,3,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,146,CIM-UH_GG_146,Meioceras nitidum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,147,CIM-UH_GG_147,Natica ,sp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,148,CIM-UH_GG_148,Parviturbo weberi,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,149,CIM-UH_GG_149,Phosinella cancellina,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,150,CIM-UH_GG_150,Phosinella redferni,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,151,CIM-UH_GG_151,Pseudoscilla babylonia,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,152,CIM-UH_GG_152,Retilaskeya bicolor,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,153,CIM-UH_GG_153,Rissoina krebsii,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,154,CIM-UH_GG_154,Schwartziella vanpeli,,3,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG02R1,155,CIM-UH_GG_155,Semele proficua,,1,Bivalvia,Deposit feeder,Benthic,coral reef
GG,GG_GG02R1,156,CIM-UH_GG_156,Suturoglypta ,spp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,157,CIM-UH_GG_157,Triptychus niveus,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,158,CIM-UH_GG_158,Turbonilla pupoides,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,159,CIM-UH_GG_159,Vexillum sykesi,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG02R1,160,CIM-UH_GG_160,Zebina browniana,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,161,CIM-UH_GG_161,Acteocina candei,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,162,CIM-UH_GG_162,Acteocina lepta,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,163,CIM-UH_GG_163,Agathistoma hotessierianum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,164,CIM-UH_GG_164,Ailinzebina elegantissima,,7,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,165,CIM-UH_GG_165,Alvania auberiana,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,166,CIM-UH_GG_166,Alvania ,spp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,167,CIM-UH_GG_167,Americardia guppyi,,3,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,168,CIM-UH_GG_168,Americardia media,,8,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,169,CIM-UH_GG_169,Antalis antillarum,,1,Scaphopoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,170,CIM-UH_GG_170,Arca zebra,,1,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,171,CIM-UH_GG_171,Arcopsis adamsi,,2,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,172,CIM-UH_GG_172,Arene venustula,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,173,CIM-UH_GG_173,Atlantilux exigua,,16,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,174,CIM-UH_GG_174,Barbatia domingensis,,48,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,175,CIM-UH_GG_175,Caecum circumvolutum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,176,CIM-UH_GG_176,Caecum donmoorei,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,177,CIM-UH_GG_177,Caecum floridanum,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,178,CIM-UH_GG_178,Caecum imbricatum,,6,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,179,CIM-UH_GG_179,Caecum plicatum,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,180,CIM-UH_GG_180,Calliostoma, sp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,181,CIM-UH_GG_181,Cerithiopsis albovittata,,4,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,182,CIM-UH_GG_182,Cerithiopsis singularis,,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,183,CIM-UH_GG_183,Cerithium atratum,,4,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG04R1,184,CIM-UH_GG_184,Cerithium eburneum,,1,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG04R1,185,CIM-UH_GG_185,Cerithium litteratum,,24,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG04R1,186,CIM-UH_GG_186,Chama ,sp.,2,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,187,CIM-UH_GG_187,Columbella mercatoria,,4,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,188,CIM-UH_GG_188,Compressidens wellsiana,,2,Scaphopoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,189,CIM-UH_GG_189,Conus daucus,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,190,CIM-UH_GG_190,Conus, sp.,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,191,CIM-UH_GG_191,Coralliophila salebrosa,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,192,CIM-UH_GG_192,Cosmotriphora melanura,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,193,CIM-UH_GG_193,Crassinella lunulata,,5,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,194,CIM-UH_GG_194,Cratis antillensis,,3,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,195,CIM-UH_GG_195,Crenella decussata,,1,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,196,CIM-UH_GG_196,Cyclostrema cancellatum,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,197,CIM-UH_GG_197,Cypraea, sp.,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,198,CIM-UH_GG_198,Diodora minuta,,5,Gastropoda,Herbivores/Carnivores,Benthic,coral reef
GG,GG_GG04R1,199,CIM-UH_GG_199,Eoacmaea pustulata,,3,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,200,CIM-UH_GG_200,Epicodakia filiata,,2,Bivalvia,Chemosymbiont,Benthic,coral reef
GG,GG_GG04R1,201,CIM-UH_GG_201,Episiphon didymum,,2,Scaphopoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,202,CIM-UH_GG_202,Eulithidium bellum,,6,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,203,CIM-UH_GG_203,Eulithidium, sp.,37,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,204,CIM-UH_GG_204,Falsuszafrona pulchella,,1,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,205,CIM-UH_GG_205,Finella adamsi,,1,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG04R1,206,CIM-UH_GG_206,Finella dubia,,1,Gastropoda,Herbivores/Deposit feeder,Benthic,coral reef
GG,GG_GG04R1,207,CIM-UH_GG_207,Gibberula ,spp.,2,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,208,CIM-UH_GG_208,Glycymeris decussata,,1,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,209,CIM-UH_GG_209,Gouldia cerina,,3,Bivalvia,Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,210,CIM-UH_GG_210,Granulina antillensis,,4,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,211,CIM-UH_GG_211,Haminoea antillarum,,2,Gastropoda,Herbivores,Benthic,coral reef
GG,GG_GG04R1,212,CIM-UH_GG_212,Hemimarginula pumila,,2,Gastropoda,Herbivores/Carnivores,Benthic,coral reef
GG,GG_GG04R1,213,CIM-UH_GG_213,Hipponix antiquatus,,1,Gastropoda,Herbivores/Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,214,CIM-UH_GG_214,Hipponix subrufus,,1,Gastropoda,Herbivores/Suspension feeder,Benthic,coral reef
GG,GG_GG04R1,215,CIM-UH_GG_215,Horologica pupa,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,216,CIM-UH_GG_216,Iniforis pseudothomae,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,217,CIM-UH_GG_217,Iniforis turristhomae,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,218,CIM-UH_GG_218,Leucozonia nassa,,1,Gastropoda,Carnivores,Benthic,coral reef
GG,GG_GG04R1,219,CIM-UH_GG_219,Lithopoma phoebium,,1,Gastropoda,Herbivores,Benthic,coral reef
